esercizio,punto,descrizione,clausole,vincoli,assegnazioni,vere
2.1,1,"se si sceglie 2, si sceglie 3",1,-x2 + x3 >= 0,4,3
2.1,2,"se si sceglie 2, non si sceglie 4",1,x2 + x4 <= 1,4,3
2.1,3,"se si scelgono 1 e 6, si sceglie 7",1,x1 + x6 - x7 <= 1,8,7
2.1,4,"se si sceglie 1 o 6, si sceglie 8",2,-x1 + x8 >= 0 ; -x6 + x8 >= 0,8,5
2.1,5,"se si scelgono 2 e 3, non si sceglie 9",1,x2 + x3 + x9 <= 2,8,7
2.1,6,"se si sceglie 2 o 3, non si sceglie 10",2,x2 + x10 <= 1 ; x3 + x10 <= 1,8,5
2.2,1,"se non si sceglie 3, si sceglie 2",1,x2 + x3 >= 1,4,3
2.2,2,"se non si sceglie 4, non si sceglie 2",1,-x2 + x4 >= 0,4,3
2.2,3,"se si sceglie 7, si scelgono 1 e 6",2,x1 - x7 >= 0 ; x6 - x7 >= 0,8,5
2.2,4,"se si sceglie 8, si sceglie 1 o 6",1,x1 + x6 - x8 >= 0,8,7
2.2,5,"se non si sceglie 9, si scelgono 2 e 3",2,x2 + x9 >= 1 ; x3 + x9 >= 1,8,5
2.2,6,"se non si sceglie 10, si sceglie 2 o 3",1,x2 + x3 + x10 >= 1,8,7
2.3,1,"se si sceglie 7 o 3, si scelgono 1 e 2",4,x1 - x3 >= 0 ; x1 - x7 >= 0 ; x2 - x3 >= 0 ; x2 - x7 >= 0,16,7
2.3,2,"se si scelgono 1, 6 e 7, si sceglie 8",1,x1 + x6 + x7 - x8 <= 2,16,15
2.3,3,"se si scelgono 5 e 2 e non 4, non si sceglie 3",1,x2 + x3 - x4 + x5 <= 2,16,15
2.3,4,"se si sceglie 6 e (1 o 4), si sceglie 2 e (5 o 7)",4,x1 - x2 + x6 <= 1 ; -x2 + x4 + x6 <= 1 ; x1 - x5 + x6 - x7 <= 1 ; x4 - x5 + x6 - x7 <= 1,64,49
2.3,5,"se si sceglie (2 o 5) e non 8, si sceglie 3 o non 6",2,x2 - x3 + x6 - x8 <= 1 ; -x3 + x5 + x6 - x8 <= 1,32,29
2.3,6,"se (1 o 4) e (2 o 5) e non 8, allora 3 e (non 6 o 7)",8,x1 + x2 - x3 - x8 <= 1 ; x1 - x3 + x5 - x8 <= 1 ; x2 - x3 + x4 - x8 <= 1 ; -x3 + x4 + x5 - x8 <= 1 ; x1 + x2 + x6 - x7 - x8 <= 2 ; x1 + x5 + x6 - x7 - x8 <= 2 ; x2 + x4 + x6 - x7 - x8 <= 2 ; x4 + x5 + x6 - x7 - x8 <= 2,256,211
2.4,1,"se si sceglie 4, almeno due fra 1, 2, 3",3,x1 + x2 - x4 >= 0 ; x1 + x3 - x4 >= 0 ; x2 + x3 - x4 >= 0,16,12
2.4,2,"se almeno due fra 6, 7, 8, allora 5",3,-x5 + x6 + x7 <= 1 ; -x5 + x6 + x8 <= 1 ; -x5 + x7 + x8 <= 1,16,12
2.4,3,"se non si sceglie 4, almeno due fra 1, 2, 3, 9",4,x1 + x2 + x3 + x4 >= 1 ; x1 + x2 + x4 + x9 >= 1 ; x1 + x3 + x4 + x9 >= 1 ; x2 + x3 + x4 + x9 >= 1,32,27
2.4,4,"se si sceglie 8, allora (1 e 6) o (1 e 7) o (2 e 6)",3,x1 + x2 - x8 >= 0 ; x1 + x6 - x8 >= 0 ; x6 + x7 - x8 >= 0,32,24
2.4,5,"se almeno due fra 1, 3, 5, non si sceglie 9",3,x1 + x3 + x9 <= 2 ; x1 + x5 + x9 <= 2 ; x3 + x5 + x9 <= 2,16,12
2.4,6,"se (1 e 2) o (3 e 4), allora 5",2,x1 + x2 - x5 <= 1 ; x3 + x4 - x5 <= 1,32,25
2.5,1,"se si sceglie 1 o 2, si sceglie 3",2,-x1 + x3 >= 0 ; -x2 + x3 >= 0,8,5
2.5,2,"se si sceglie 4, si scelgono 5 e 6",2,-x4 + x5 >= 0 ; -x4 + x6 >= 0,8,5
2.5,3,"se si sceglie 1 o 2, si scelgono 3 e 4",4,-x1 + x3 >= 0 ; -x1 + x4 >= 0 ; -x2 + x3 >= 0 ; -x2 + x4 >= 0,16,7
2.5,4,"se si scelgono 1 e 2, si sceglie 3",1,x1 + x2 - x3 <= 1,8,7
2.5,5,"se si sceglie 5 o 6, non si sceglie 7",2,x5 + x7 <= 1 ; x6 + x7 <= 1,8,5
2.5,6,"se non si sceglie 8 o non si sceglie 9, si sceglie 10",2,x8 + x10 >= 1 ; x9 + x10 >= 1,8,5
