giorno,ora,strumento,costo
lunedi,1,chitarra,1
lunedi,1,violino,0
lunedi,1,pianoforte,0
lunedi,1,arpa,0
lunedi,2,chitarra,0
lunedi,2,violino,0
lunedi,2,pianoforte,0
lunedi,2,arpa,0
lunedi,3,chitarra,0
lunedi,3,violino,0
lunedi,3,pianoforte,1
lunedi,3,arpa,0
martedi,1,chitarra,1
martedi,1,violino,0
martedi,1,pianoforte,0
martedi,1,arpa,1
martedi,2,chitarra,0
martedi,2,violino,0
martedi,2,pianoforte,0
martedi,2,arpa,1
martedi,3,chitarra,0
martedi,3,violino,0
martedi,3,pianoforte,1
martedi,3,arpa,1
mercoledi,1,chitarra,0
mercoledi,1,violino,0
mercoledi,1,pianoforte,0
mercoledi,1,arpa,0
mercoledi,2,chitarra,0
mercoledi,2,violino,1
mercoledi,2,pianoforte,0
mercoledi,2,arpa,0
mercoledi,3,chitarra,0
mercoledi,3,violino,0
mercoledi,3,pianoforte,1
mercoledi,3,arpa,0
giovedi,1,chitarra,0
giovedi,1,violino,0
giovedi,1,pianoforte,0
giovedi,1,arpa,0
giovedi,2,chitarra,0
giovedi,2,violino,1
giovedi,2,pianoforte,0
giovedi,2,arpa,0
giovedi,3,chitarra,0
giovedi,3,violino,0
giovedi,3,pianoforte,1
giovedi,3,arpa,0
